config,op,cuda_time_us,pct_total,count
kernel,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_64x3_tn,1625.4,64.73,1
kernel,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize160x128x32_stage4_warpsize2x2x1_tensor16x8x16_kernel,72.3,2.88,66
kernel,"void pytorch_flash::flash_fwd_kernel<pytorch_flash::Flash_fwd_kernel_traits<128, 128, 64, 4, false, false, cutlass::half_t, pytorch_flash::Flash_kernel_traits<128, 128, 64, 4, cutlass::half_t> >, false, true, false, false, true, true, false>(pytorch_flash::Flash_fwd_params)",59.0,2.35,16
kernel,"void at::native::(anonymous namespace)::indexSelectLargeIndex<c10::Half, long, unsigned int, 2, 2, -2, true>(at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<c10::Half const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long)",55.7,2.22,1
kernel,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_tn,39.7,1.58,114
kernel,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x64_32x4_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x64_32x4_tn_align8::Params),38.0,1.51,4
kernel,"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 4, 64, 64>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",33.9,1.35,32
kernel,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_tn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_tn_align8::Params),32.9,1.31,96
kernel,ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_tn,32.1,1.28,19
kernel,ampere_fp16_s16816gemm_fp16_256x64_ldg8_f2f_stages_64x3_tn,26.8,1.07,24
kernel,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize192x128x32_stage4_warpsize4x2x1_tensor16x8x16_kernel,25.5,1.02,6
kernel,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::Half> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::Half> const&)::{lambda(int)#1})",24.9,0.99,32
kernel,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_64x3_tn,24.4,0.97,33
kernel,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize96x128x32_stage4_warpsize2x2x1_tensor16x8x16_kernel,23.9,0.95,28
kernel,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x96x32_stage3_warpsize2x2x1_tensor16x8x16_kernel,21.5,0.86,4
